,Newspaper,Date,Title,Text,Category,Page_number,Raw_article_length,Title_length,Month,Protest,Political_camp
0,Oriental Daily News,2019-01-01,潤物有聲：婆媽政府不作為,常言道：一年伊始，萬象更新。然而，特區政府對待南亞假難民政策屢錯不改，可以預期，新的一年將繼續亂象叢生。繼南亞兵團殺入南丫島，將世外桃源變成毒窟後，警方日前爆門搜查長沙灣工廈洗碗工場，拘捕七名假難民黑工。南亞兵團只要手持「行街紙」，就可以在港自由活動，不是販毒、打劫，威脅港人性命財產，就是做黑工搶香港人飯碗，高官還要堅拒重設禁閉營，婆媽背後不是表明了這個「香港難民特區政府」口說「與市民同行」，實際上只是「與難民同行」嗎？港府對難民來者不拒，對收緊難民政策大歎慢板，固然是大錯特錯，送上行街紙、人道援助及律師費供這班人打官司，吸引南亞兵源源不絕湧港，則是一錯再錯。若說不重設禁閉營是顧及人權，那麼，對聘請黑工僱主刑罰過輕，恐怕是出於顧及假難民的搵食權了。單是去年首十一個月，就有三百一十九名假難民黑工被捕，數字不但比一五年及一六年都要多，而且還可能僅是冰山一角，事關月前入境處在流浮山打擊黑工，就發現有人在港做黑工已經逾兩年，一來反映假難民黑工問題嚴重，二來亦揭示不少僱主根本無視法例。雖然法例訂明僱用黑工一經定罪，最高可被判監禁三年及罰款三十五萬元，可是法庭一般僅判處數個月刑期了事。港府屢被詬病施政維護商界利益，莫非連聘用黑工的僱主也包括在內？沒有僱用黑工的僱主，假難民想做黑工也沒有窿路。不過，假難民無黑工做，會否轉為打家劫舍呢？以這個慣性婆媽的政府而言，當然是繼續不作為，對待假難民問題以不變應萬變，任由香港變成假難民樂園。傳媒人龍力勤,龍門陣,A28,623,12,1,0,Pro-Beijing
1,Oriental Daily News,2019-01-01,獅子山上：港人卑微願望,今日是二○一九年首日，港人在未來一年是福是禍，政府的大政方針有決定性作用，但事實擺在眼前，港人對新一年不甚樂觀，國際民意調查機構蓋洛普向全球五十一個國家或地區進行「希望指數」調查，香港的分數由正十分急跌至負二十五分，成為全球對一九年最悲觀地區的第五位。在今次希望指數排名中，最悲觀的五個地區包括戰火連連的兩個中東國家，換言之，港人對前景悲觀的程度，竟然堪比朝不保晚的動盪中東社區。香港向來被視為福地，甚少天災，港人在如此得天獨厚的情況下，於新一年憂心忡忡，顯然是人禍已全然覆蓋希望之源，擺在眼前最少有兩大毒瘤問題，一天不解決，香港要浴火重生，真的不知從何說起。第一個毒瘤問題是近期鬧哄哄的司法亂象，當中「放生」及「應告唔告」個案惹起極大爭議，對此，律政司司長鄭若驊責無旁貸，有責任撥亂反正，奈何她自己亦「唔爭氣」，本身也是爭議火頭，尤其是獨立屋僭建醜聞衍生的其他法律問題，「未完全斷尾仍有手尾跟」。再者，鄭若驊近期因擅改徵詢獨立法律意見的準則，法律界及政界一面倒「鬧爆」，連建制派都「幫理不幫親」，寸爆鄭抱持「眾人皆醉我獨醒」的態度，要求她再作解釋，若鄭仍死撐不認錯，司法繼續沉淪是無可避免。另一個毒瘤問題是南亞兵團及假難民禍港，據報過去五年用於免遣返聲請及相關工作的開支多達五十億元，公帑如此浪費，已令民怨四起，但政府至今仍無解決假難民問題的方案，多個地區要長時間承受假難民衍生的社會問題。總的來說，香港新一年籠罩悲觀情緒，政府要挽回人心，先要杜絕人禍，繼而提出針對措施排難解紛，否則港人的卑微願望亦落空，就是對政府死心之時。傳媒人畢日堯,龍門陣,A28,670,11,1,0,Pro-Beijing
2,Oriental Daily News,2019-01-01,強詞有理：治安毒瘤 沒完沒了,「善財難捨，冤枉甘心」，正是港府的寫照。一方面對港人斤斤計較，連派粒糖也不情不願，另一方面對假難民慷慨解囊，大方得令人難以置信。過去五年，港府用於假難民身上的開支累計達五十億元，單是本財政年度就有十四億元，較上個財年增加逾三成，可見這根本是一個無底洞，愈陷愈深。港府請客，市民埋單，你說冤不冤！花錢還是其次，治安才是大問題。隨着假難民不斷蔓延，全港各區相繼淪陷，連離島也無法幸免，一向治安良好的南丫島竟淪為毒窟及兵器庫，令人觸目驚心。對假難民仁慈，等於對港人殘忍，難道港府連如此簡單的道理也不懂？人們始終想不通，假難民問題已困擾香港多年，為何遲遲無法解決？答案是，非不能也，實不為也。要徹底解決假難民問題，最直截了當的辦法就是退出聯合國《禁止酷刑公約》。有人也許認為這不是一件簡單的事，其實事在人為，美國可以「美國優先」為名隨時退群毀約，為何香港連通過中央政府要求退出公約的勇氣也沒有？向來強調「自由人權」的美國尚且對經濟難民採取零容忍政策，香港又何德何能對假難民來者不拒？退一步說，即使暫時無法退出公約，也不表示可以放任假難民為非作歹。各界人士早就建議設立禁閉式難民營，起碼也應羈押干犯刑事罪行的假難民，禁止他們流竄各區，危害治安，奈何港府充耳不聞，至今沒有採取任何防範措施。庸官禍港，莫此為甚！評論員陳競立,龍門陣,A28,555,14,1,0,Pro-Beijing
3,Metro Daily,2019-01-02,少數族裔生學粵語 破障礙當文化大使,少數族裔與本地學生或多或少都會有語言障礙。有本身不諳中文的少數族裔學生，透過獎學金計劃入讀大學後，成功從同學間學習到更多本土文化和溝通，他們又不忘推廣自己國家的特色，在校園與其他人交流文化。浸會大學英國語言文學三年級生洛思茵，是香港土生土長的菲律賓人。自小與本地學生讀書的她，憶述當時因語言障礙，她不多與他人交談。後來她入讀浸會大學，並加入國際學生組織，令她性格開始變得外向。獲同學教大學常用術語「人人都同我講嘢，點解我要驚呢？」洛思茵說，現時覺得與其他人溝通已成一件易事，又指獲得一班好同學，教導她一些常用的大學術語，「例如『天地堂』、『好Chur』等。」至於，另一名浸大工商管理會計專修一年級生Joshua Cortes，則於2007年由菲律賓來港，他與非本地學生一同讀中學。當他升讀大專時，認為與說粵語的學生溝通是一項新挑戰。Joshua透露，初到浸大時報名參加迎新營，但全部人都說粵語，慶幸當時遇上一班好同伴，「佢哋知我唔識會慢慢解釋，依家都學到少少中文。」兩人都是透過尖沙咀街坊福利會南亞及東南亞少數族裔傑出學生入學獎學金計劃，於今個學年入讀浸大。學生事務處助理處長陳文軒指，申請者須為香港永久居民，可循聯招或非聯招途徑申請，經面試和評核後，今學年共有6位學生獲獎。陳文軒續稱，每個獎學金金額相等於全年學費，但他們入學首年需要參與志願服務，並擔任文化大使，在校內推廣自己國家的文化。擔任推廣自己國家文化洛思茵及Joshua Cortes早前在校內一個推廣菲律賓文化的攤位，其間他們向其他同學介紹簡單菲律賓語言（他加祿語）和地道小食，並高興有不少同學都感興趣和踴躍參與。,新聞,P05,689,17,1,0,Neutral
4,Oriental Daily News,2019-01-02,龍七公：大麻製品恐攻港 當局不能忽視,於去年，加拿大國會通過《大麻法案》，容許境內攜帶及吸食自用數量範圍內的休閒大麻。由於加拿大與香港關係密切，雙方互有一定數量的旅客及留學生，當地的合法化可能間接增加大麻流入本港的機會。就此，當局實在不能掉以輕心，使大麻此類「看似害處不大」的毒品，影響到本港市民健康。在北美地區，大麻合法化議題經過漫長的辯論。美國部分州已將其合法化或醫療用途合法化，但還有一部分仍全面禁止。今次加拿大全面開放休閒大麻，預計將有大量美國公民前往當地購買及吸食。與此同時，部分亞裔學生本無意吸食，但合法化可能會成為他們嘗試的誘因，引起他們父母的高度關注。某些支持大麻合法化的團體認為，大麻對人體的害處不大，並指煙草及酒精禍害更大，而且更容易令人上癮。大麻其中一個盛產地是墨西哥。有學者指，大麻之所以被標籤為負面產物，全因十九世紀及二十世紀之交，大量墨西哥人進入美國引起社會恐慌，美國當時就指摘墨西哥人吸食大麻致犯罪及貧困問題叢生。時至今日，由於支持者多年來與政府對抗，久而久之產生一種次文化的象徵，予人一種錯覺，就是大麻與反政府情緒存在密切關係。每當有人提起北美地區墮落的一面，總是離不開大麻的問題。撇開北美的政治和文化，大麻又是否真的對身體無害？根據研究顯示，大麻比煙草的效力更持久，後者可能只有十數分鐘，而前者則可能長達四至五個小時。在如此長的時間身處在意識不清之中，將有機會增加發生人身安全意外的機會。另外，大麻對中樞神經的傷害，不下於尼古丁及酒精，尤其是對於年輕人的傷害，隨時可能會造成永久的後遺症。更重要的是，大麻往往被視為「誘導性毒品」，亦即其他毒品的「入門」。其實不難想像，慣性吸食大麻的人士會產生耐藥性，同劑量的大麻未必滿足到其追求刺激的心態，繼而轉向其他更烈性的毒品。基於種種原因，亞洲大部分地區將大麻定性為「毒品」，而在中國內地及南韓，私藏大麻的最高刑罰更是死刑。說回香港，大麻現時被視為「毒品」，亦相信社會暫無強烈要求合法化的聲音。過往的報道，主要關於警員搗破種植大麻的案件。順帶一提，在香港私自栽植大麻是為嚴重罪行，最高可判處監禁十五年及罰款十萬元。雖然大麻在港的確未有「流行」的趨勢，但隨着加拿大將其合法化，也許會增加流入香港的風險。一如電子煙般，大麻製品未必像我們所認知的「乾草」形態，部分商人為求增加銷量，可能將其包裝成糖果或飲料。由此，部分年輕人可能因而放下戒心，誤將相關產品帶入香港，一旦被海關人員發現，即誤墮法網負上刑事責任。此外，如在網上購買大麻相關產品，不乏賣方聲稱可以幫助買家郵寄至香港，反映執法機構仍有多個途徑尚未完全堵截。雖然涉及境外的犯罪行為在執法上存在一定困難，但至少海關可以在邊境加強追蹤，避免大麻製品能以郵遞的方式進入本港。事實上，近年香港受到「假難民」的困擾，大量的南亞人士以非法途徑前來香港，成為罪案的溫床，已很有可能增加毒品在本港流轉的機會。加之加拿大及美國部分州份陸續宣布休閒大麻合法化，亦很有可能使年輕人減少對其警覺性。現時，在香港所發現大麻的個案偏低不代表問題輕微，有時可能純粹是執法存在難度，但實質問題已漸漸在各個社區蔓延。在新的一年，希望當局加緊重視毒品的偵緝，勿讓我們的年輕人有機會接觸毒品，禍及身心健康。律師陳曼琪,龍門陣,A24,1332,18,1,0,Pro-Beijing
5,Sing Tao Daily,2019-01-02,菲學生圓夢升浸大 獲少數族裔獎學金,「少數族裔考入本地主流大學並不容易……」去年九月入讀浸會大學英國語言文學三年級的洛思茵，是香港土生土長的菲律賓人。她分享，面對本地生的激烈競爭，少數族裔一般較難於首輪躋進大學，多循副學位銜接上去。她初時為此感到沮喪，但堅持初衷，終升讀心儀大學。她與另外五名少數族裔學生同獲今學年浸大少數族裔傑出學生入學獎學金。一身黑色外套和牛仔褲打扮的洛思茵和Joshua Cortes除了同樣喜愛跳舞，亦是菲律賓的同鄉，並在過去兩年在同一所學校修讀副學士課程。去年九月，兩人均如願考入浸會大學，前者經高年級入學，成為英國語言文學三年級生，後者入讀工商管理一年級，並同獲今學年浸大南亞及東南亞少數族裔傑出學生入學獎學金。聯招派位難競爭洛思茵慨歎，少數族裔要入讀本地大學殊不容易，往往需要經過第二輪的機會。「不敢奢望能經大學聯招（JUPAS）直升大學，轉而循專上教育的方向發展。」思茵的努力得到回報，在完成兩年副學位課程後，直升大學三年級，「我的信心提高了，因為同學都是當年同屆文憑試考生。即使我的起點較低，但一樣達到相同高度。」Cortes坦言除了升大學是挑戰，融入本地課堂的文化亦然。他分享，自己曾因為積極參與課堂活動，而遭其他本地同學質疑「博表現」，更被冠以種族歧視的字眼「賓仔」。但他沒有灰心，盡自己最大的努力，終於去年成為大學新鮮人。兩人獲得今學年浸大少數族裔傑出學生入學獎學金，獎金相等於全年學費，並將繼續在校園推廣少數族裔文化。學生事務處助理處長陳文軒透露，今學年有逾三十人申請該獎學金，最終六人得獎。記者 余嘉欣,教育,F01,655,17,1,0,Pro-Beijing
6,Wen Wei Po,2019-01-02,浸大少族獎學金助文化共融,香港文匯報訊（記者  詹漢基）為促進文化共融，浸會大學為少數族裔本科生提供獎學金，以表揚他們在學業、課外活動的傑出表現。得獎者可獲得全年學費資助，若每年成績平均累積績點不低於2.8分，便可繼續獲發獎學金直到畢業；也可優先參與海外交流計劃，並獲相關津貼1萬元。本年度有6人得獎，他們均希望能以自身經歷，向社會傳達和平共融的訊息。浸大學生事務處助理處長陳文軒表示，這是該校第二年設立「尖沙咀街坊福利會南亞及東南亞少數族裔傑出學生入學獎學金」，申請者可循聯招或非聯招入學，只要同學為香港永久居民，父或母來自南亞或東南亞國家，即可遞交申請。得獎者要擔任文化大使，在校內外進行不同義務工作，回饋社會。得獎者：會做義工服務社群今年浸大收到接近40個獎學金申請，最終6人得獎，包括就讀英國語言文學系三年級的洛思茵。她祖籍菲律賓，但在香港成長，她坦言與本地學生溝通的機會不多，「無論在香港或菲律賓，總覺得自己是異鄉人，但我會珍惜這個機會，作為本地生及外籍學生的溝通橋樑，向同學傳遞和平共融的訊息。」她現在是教導小學生的兼職英語導師，未來或向教育方面發展，而目前她最想做到的是前往發展中國家，協助當地建房。同樣是菲律賓裔的Joshua，就讀工商管理會計專修一年級，他指會繼續學習粵語，在香港做更多義務工作，服務社群。另一名得獎者，巴基斯坦裔的Bi Safia是英文系三年級生，日常生活均需以輪椅代步，上學較其他同學多用一倍時間，縱使因為行動不便而受到歧視，但她樂觀面對身體的缺陷，「自己經常遇到不禮貌對待，路人以為我不懂粵語，會指指點點，故我希望自己能向社會傳達互相尊重、諒解的訊息」，她認為膚色、語言不應成為障礙，最重要是「我是香港人，我愛香港。」,香港新聞,A11,716,12,1,0,Pro-Beijing
7,Oriental Daily News,2019-01-03,南亞人霸公園作歌舞廳,康文署公園管理不善，多個公園噪音問題一直未解決。屯門公園小食亭獲批申請賣酒，場內不少中年男人違例吸煙，又煙又酒，加上歌舞團表演噪音，現場淪為歌舞廳。近年九龍公園每逢假日亦有大批外傭及南亞人「進駐」高歌，發出大量噪音滋擾，有區議員直指不時接投訴，促該署加強執法。屯門公園內不少人又煙又酒，欣賞歌舞團表演。又煙又酒 噪音擾民近年九龍公園「永無寧日」，逢周日園內噴水池周圍被近百名外傭及南亞漢佔據，有人帶同超過五十厘米高喇叭，播放菲律賓及印尼語歌曲，亦有人連接自攜電視機，旁若無人地高歌熱舞。本報記者曾以儀器量度噪音水平，結果顯示聲浪持續高於八十八分貝以上，唱歌期間噪音更高達九十三點五分貝，對其他公園使用者構成嚴重噪音滋擾。油尖旺區議員孔昭華稱，過去不時接獲市民就九龍公園內噪音問題投訴，早前就此聯絡康文署，部門職員回覆指會增派人手處理。孔認為，外傭及南亞漢於公園野餐或唱歌自娛並無問題，但當發出過分噪音，康文署應嚴格執法，又指部分公園區域或不適合進行相關活動，建議部門考慮於園區內劃出範圍供市民娛樂表演。,港聞,A01,451,10,1,0,Pro-Beijing
8,Oriental Daily News,2019-01-03,法庭：千萬元劫案 巴港8被告合併審理,【本報訊】尖沙咀去年發生的南亞幫夥本地幫涉嫌打劫找換店客人千萬元案，六名涉案本地男子及兩名巴基斯坦裔男子，昨分五案在九龍城法院再訊，裁判官應控方申請，將五案合併處理，八人同被控一項搶劫罪，繼續毋須答辯，還押至二月十一日於東區法院再訊，以待將案轉介高院審理。八名被告包括兩名持香港身份證的巴裔男子ASIF AHFAQ MEHMOOD（又名文雅法）及NABEEL，以及六名本地男子鄧子聰、王梓健、郭政樂、黃煒峰、曾瀚衡、鄭耀旻，他們年齡介乎十七歲至廿五歲。控罪指他們於去年八月八日，在中間道遠東大廈外搶劫兩名事主的一千萬元現金。其中一名被告另涉六罪被告曾瀚衡另被加控三項無牌駕駛和三項沒第三者保險而駕駛罪。此六罪同樣毋須答辯，押後至下月廿七日於九龍城法院再訊。案件編號：KCCC 2637/2018、KCCC 11/2019,港聞,A08,360,18,1,0,Pro-Beijing
9,Apple Daily,2019-01-04,爆相爆片：蒲友散band反轉港鐵,"一班南亞裔男女喺中環夜蒲之後散band，唔知係玩到未回魂定係漠視規例，竟然喺港鐵車廂食煙、推撞，仲要踢幕門，唔係覺得自己咁樣好型吓嘛？讀者Thomas前日朝早6點幾，喺蘭桂坊通宵夜蒲後搭港鐵去旺角，佢同嗰班南亞裔男女一齊上車，目擊晒佢哋嘅惡行。乘客嚇到急急腳避開其中三個男嘅坐喺Thomas對面，中間着住黑色西裝外套、黑boots、手戴粗金鏈好似「大佬」咁款嗰位，竟然喺車廂食煙，其間支煙跌咗落地，佢非常慳家咁執返起！鏡頭一轉，嗰班男女突然同另一班南亞裔男女嘈起上嚟，兩班人你推我撞，車廂入面嘅乘客急急腳避開，雖然聽唔明佢哋嘈乜，但聽語氣都知好重火藥味。呢個時候，列車已經去到油麻地站，開始廣播「please stand back from the train door」，準備閂門，煲煙男一行五人急急轉身落車，其中染橙色頭髮嘅同伴仲回頭向對方手指指，同行金毛女伴用力拉住車門，令車門彈返開，橙髮男仲一腳踢開月台幕門，等「大佬」可以落車。橙髮男跟住「大佬」行出月台，當佢哋以為用咗最有型嘅方法離場嗰陣，其餘兩男一女同伴就落唔切車，車門又閂咗，金毛女邊拍車門邊爆粗，橙髮男夾硬拉開車門，金毛女幫手令到車門再打開，終於齊齊落車。未到站嘅Thomas聽返仲喺車廂嘅另一班男女講，兩班人本來唔識嘅，但前一晚夜蒲嗰陣曾經嘈過交，點知喺港鐵狹路相逢，有人撩交嗌。港鐵就話冇呢件事嘅紀錄，亦冇收到乘客報告，唔清楚實際清況，但提醒乘客港鐵範圍嚴禁吸煙，車站當眼位置已經貼咗不准吸煙告示，如果乘客見到有人喺鐵路範圍食煙或行為影響到其他人，可通知職員採取適切行動。爆相爆片爆相畀$500、爆片送$1,000嘅基本獎賞外，仲會選出每周之星，每星期最高單日總點擊頭5名即刻科水$10,000，而每月15號至翌月14號期間獲得全月最高單日總點擊者，更可以成為每月盟主，額外獎賞$100,000，係$100,000！爆相爆片必須為本報獨家採用，一經刊登立即有獎！爆相爆片WhatsApp：63836568參加細則1.爆相爆片必須由參加者拍攝。2.若本報發現任何造假情況，將取消其參賽資格。3.壹傳媒集團員工及親屬不可參加。4.本報會保留採用爆相爆片與否和獎項分配的一切權利，如有任何爭議，以本報決定為準。",港聞,A13,938,16,1,0,Pro-democracy
