,Newspaper,Date,Title,Text,Category,Page_number,Political_camp,Raw_article_length,Title_length,Month,Racial_label,Sentiment,Filter
3,Oriental Daily News,2019-01-02,龍七公：大麻製品恐攻港 當局不能忽視,於去年，加拿大國會通過《大麻法案》，容許境內攜帶及吸食自用數量範圍內的休閒大麻。由於加拿大與香港關係密切，雙方互有一定數量的旅客及留學生，當地的合法化可能間接增加大麻流入本港的機會。就此，當局實在不能掉以輕心，使大麻此類「看似害處不大」的毒品，影響到本港市民健康。在北美地區，大麻合法化議題經過漫長的辯論。美國部分州已將其合法化或醫療用途合法化，但還有一部分仍全面禁止。今次加拿大全面開放休閒大麻，預計將有大量美國公民前往當地購買及吸食。與此同時，部分亞裔學生本無意吸食，但合法化可能會成為他們嘗試的誘因，引起他們父母的高度關注。某些支持大麻合法化的團體認為，大麻對人體的害處不大，並指煙草及酒精禍害更大，而且更容易令人上癮。大麻其中一個盛產地是墨西哥。有學者指，大麻之所以被標籤為負面產物，全因十九世紀及二十世紀之交，大量墨西哥人進入美國引起社會恐慌，美國當時就指摘墨西哥人吸食大麻致犯罪及貧困問題叢生。時至今日，由於支持者多年來與政府對抗，久而久之產生一種次文化的象徵，予人一種錯覺，就是大麻與反政府情緒存在密切關係。每當有人提起北美地區墮落的一面，總是離不開大麻的問題。撇開北美的政治和文化，大麻又是否真的對身體無害？根據研究顯示，大麻比煙草的效力更持久，後者可能只有十數分鐘，而前者則可能長達四至五個小時。在如此長的時間身處在意識不清之中，將有機會增加發生人身安全意外的機會。另外，大麻對中樞神經的傷害，不下於尼古丁及酒精，尤其是對於年輕人的傷害，隨時可能會造成永久的後遺症。更重要的是，大麻往往被視為「誘導性毒品」，亦即其他毒品的「入門」。其實不難想像，慣性吸食大麻的人士會產生耐藥性，同劑量的大麻未必滿足到其追求刺激的心態，繼而轉向其他更烈性的毒品。基於種種原因，亞洲大部分地區將大麻定性為「毒品」，而在中國內地及南韓，私藏大麻的最高刑罰更是死刑。說回香港，大麻現時被視為「毒品」，亦相信社會暫無強烈要求合法化的聲音。過往的報道，主要關於警員搗破種植大麻的案件。順帶一提，在香港私自栽植大麻是為嚴重罪行，最高可判處監禁十五年及罰款十萬元。雖然大麻在港的確未有「流行」的趨勢，但隨着加拿大將其合法化，也許會增加流入香港的風險。一如電子煙般，大麻製品未必像我們所認知的「乾草」形態，部分商人為求增加銷量，可能將其包裝成糖果或飲料。由此，部分年輕人可能因而放下戒心，誤將相關產品帶入香港，一旦被海關人員發現，即誤墮法網負上刑事責任。此外，如在網上購買大麻相關產品，不乏賣方聲稱可以幫助買家郵寄至香港，反映執法機構仍有多個途徑尚未完全堵截。雖然涉及境外的犯罪行為在執法上存在一定困難，但至少海關可以在邊境加強追蹤，避免大麻製品能以郵遞的方式進入本港。事實上，近年香港受到「假難民」的困擾，大量的南亞人士以非法途徑前來香港，成為罪案的溫床，已很有可能增加毒品在本港流轉的機會。加之加拿大及美國部分州份陸續宣布休閒大麻合法化，亦很有可能使年輕人減少對其警覺性。現時，在香港所發現大麻的個案偏低不代表問題輕微，有時可能純粹是執法存在難度，但實質問題已漸漸在各個社區蔓延。在新的一年，希望當局加緊重視毒品的偵緝，勿讓我們的年輕人有機會接觸毒品，禍及身心健康。律師陳曼琪,龍門陣,A24,Pro-Beijing,1332,18,1,1,0,0
7,Oriental Daily News,2019-01-04,事先獲取乘客資料 入境處阻截潛在聲請人來港,【本報訊】政府提出的《入境條例》修訂建議，除了縮短免遣返聲請人拖延留港及加重黑工相關刑罰外，亦有觸及阻截潛在聲請人來港的範疇，當中包括考慮賦權政府可事先取得即將飛來香港的航機乘客資料，讓港方有需要時可拒絕個別人士登機。當局同時計劃加重航空公司檢查乘客可否合法來港的責任，機上一旦有乘客沒有有效旅行證件而飛抵本港，飛機擁有人及其代理人的最高罰款，將大增九倍至十萬元。假難民聚居深水埗南亞村，令附近居民人心惶惶。美加澳洲已落實 加快清關程序根據保安局及入境處提交立法會的文件，指國際民用航空組織二○一八年更新《國際民用航空公約》，要求其成員落實「預報旅客資料」系統。在有關系統下，航空公司必須在航機起飛前預先向目的地的入境當局提供乘客資料，而上述安排已在不少國家，例如美國、加拿大及澳洲落實，目的是進一步加快邊境的清關程序，減少不必要的延誤。當局透露正考慮加入條文，賦權保安局局長可制訂規例，要求航空公司或其他交通工具的擁有人或其代理人，在航機或交通工具出發來港前，向入境處提供乘客資料，以及在有需要時，讓入境處要求航空公司及上述擁有人或代理人，拒絕個別人士登機或登上交通工具來港。落實《公約》有關要求，可加強入境處執法能力及加快各管制站處理旅客通關的手續，亦可加強防止潛在聲請人來港。研增航空公司責任 罰款加至10萬另外，現時《入境條例》規定，乘飛機抵港的乘客如未有帶備有效旅行證件，飛機的擁有人及其代理人即屬犯罪，最高罰款一萬元。為進一步減少潛在聲請人抵港，並加重航空公司檢查乘客是否可合法來港的責任，當局正考慮修例將最高罰款大幅提高至十萬元。,港聞,A02,Pro-Beijing,672,21,1,1,0,0
10,Oriental Daily News,2019-01-04,出九招嚴懲 拒設禁閉營 退公約冇影 打擊假難民政府終修例被轟唔徹底,假難民濫用免遣返聲請程序遺禍本港多年，五年來耗費公帑五十億元，為徹底解決問題，港府在修訂《入境條例》計劃上再「出招」加入九大修例建議，最新包括考慮增加羈留權力，訂明當有聲請人對人命或財產構成風險或阻延程序，可將之羈留；而針對愈來愈多聲請人以司法覆核拖延遣返，港府建議除非已獲法庭批准，否則入境處仍可遣返已提出覆核許可申請的聲請人，其他建議則包括限制聲請要在抵港三個月內提出、大幅調升聘黑工及打黑工的罰則，以及禁止潛在聲請人登機來港等，惟各界要求重啟禁閉營及尋求退出聯合國《禁止酷刑公約》的聲音，就未有包含在建議之內，當局的措施被批評不夠徹底。修例建議可遣返已提出覆核但未獲法庭批出許可的聲請人。聲請者危害人命將續羈留現時《入境條例》賦權入境處在遣送程序及審核聲請時羈留有關人士，惟部門在行使權力時必須符合普通法一項原則，即若部門不能在合理時間內完成審核或遣送程序，就不能長期羈留。根據保安局及入境事務處提交立法會的文件提出的最新建議，指會考慮在修例建議中訂明，若認為聲請人不被羈留會對人命或財產構成風險，可不受任何普通法原則限制，繼續羈留。去年聲請覆核飆至三千宗當局又正參考以前處理越南船民時的條例及案例，考慮加入條文，規定考慮羈留時間是否合理時，應充分考慮其他因素，例如當有大量聲請同時等候處理、相關人士直接或間接阻延程序、或出現其他入境處未能控制的情況時，即時審核或遣送程序受阻，繼續羈留當事人不會變成不合理。按現行政策，若被遣返者已提出司法覆核申請，入境處會暫緩遣返，惟當局指高等法院原訟法庭接獲聲請相關司法覆核許可由前年起飆升，一五、一六年只有一百零三宗及八十宗，前年增逾十倍至一千零六宗，去年截至十二月中更再勁升兩倍至近三千宗，惟一七年至今法庭已處理的千多宗個案，其中只有廿多宗，即百分之二獲批覆核許可，其餘均被拒絕。未獲覆核批准仍可被遣離鑑於司法覆核聲請結果許可申請人持續上升，愈來愈多聲請被拒者繼續長期滯港，當局考慮加入條文，訂明即使有關人士已提出相關司法覆核許可或法律援助申請，除非已獲法庭給予覆核許可，否則入境處仍可將他們遣離。當局並考慮訂明一個人須在符合提出聲請資格（即非法入境香港、逾期逗留或被拒入境）起計的三個月內提出聲請，除非有非常特殊及無法控制的情況，否則逾期提出將不獲處理。另外，現行統一審核機制由法定的酷刑聲請審核機制加上行政措施組成，以同時處理酷刑、不人道處理及迫害聲請，當局考慮修例為整套機制提供全面法律基礎。當局的目標是今年上半年向立法會提交條例草案。,港聞,A01,Pro-Beijing,1045,33,1,1,0,0
13,Oriental Daily News,2019-01-05,油旺冚賭拉12人包括孟籍假難民,【本報訊】南亞假難民游手好閒沉迷賭博！油尖警區特別職務隊探員，早前接獲線報指，油麻地一個住宅式遊戲機賭場，經常有南亞幫打躉，恐怕是罪案溫床，對區內社區治安構成嚴重影響。探員隨即前往監視，發覺該「機竇」賭客國際化，除有南亞裔外，另有本地及內地人等。直至前日傍晚六時許，探員認為時機成熟採取行動，突擊掩至彌敦道五二二號一單位，搗破懷疑賭檔。油麻地警方檢獲多部遊戲機。遊戲機賭場主持僅18歲行動中，警方共拘捕九人（十八至四十四歲），其中姓陳本地男子疑為主持，涉嫌「管理賭博場所」；其餘為一名持「行街紙」的孟加拉籍男子、一名持雙程證男子，以及三男三女本地人，俱疑是賭客，均涉嫌「在賭博場所內賭博」。警員在上址檢獲兩部釣魚機、一部射擊遊戲機、一部老虎機及七千元賭款等。據悉，由於主持人年僅十八歲，警方懷疑有幕後人操控，目前根據線索追查。另外，旺角警區特別職務隊探員，前晚十時許，在區內進行打擊非法賭博行動，探員掩至旺角彌敦道七三一號一單位，搗破一個網上百家樂賭檔。單位內一名姓劉（五十九歲）男子，涉嫌「經營賭博場所」被捕，另外兩名分別五十歲及六十四歲本地女子，則涉嫌「在賭博場所內賭博」被捕。行動中，警方共檢獲兩部電腦、面值九千三百元的籌碼、一張百家樂賭枱和小量賭款。,港聞,A02,Pro-Beijing,529,15,1,1,0,0
25,Oriental Daily News,2019-01-09,議員促建禁閉營遏假難民,假難民禍港多年，港府在修訂《入境條例》計劃上再加入九大修例建議，包括除非已獲法庭批出許可，否則入境處仍可遣返已提出司法覆核的聲請人。保安局局長李家超指，聲請人提出司法覆核許可申請，九成八不獲批，而即使法院批出許可，亦非確立他們的聲請，強調當局已徵詢法律意見，並沒有剝奪聲請人的基本權利；羈留權力方面，李指，要有穩妥法律基礎「先容許考慮唔同嘅選項」，承諾會認真處理羈留問題，港府預期今年上半年提出修訂建議，望建議提出時可盡快獲得通過。保安局稱已徵詢法律意見，可遣返提出司法覆核但未獲法庭批出許可的聲請人。港府提出的修例建議另包括考慮加入條文，規定在考慮羈留時間是否合理時，應考慮其他相關因素，如大量聲請同時等候入境處或上訴委員會處理、相關人士直接或間接阻延程序，或有其他入境處未能控制的情況，如部分國家需更長時間發出旅遊證件，令審核或遣送程序受阻時，繼續羈留聲請人亦不會變得不合理；又考慮訂明若不羈留相關人士會對人命或財產構成風險，可不受普通法原則限制，即繼續羈留。李家超強調建議的修訂沒有剝奪聲請人的基本權利。（陳德賢攝）考慮不同選項  須法律基礎立法會保安事務委員會昨討論有關建議。立法會議員葛珮帆詢問如修例獲通過，料被羈留聲請人會增加，會否增加羈留設施，又指建議是否等同會羈留曾犯過重罪的聲請人；鄭松泰則指，建議「寫得咁嚴苛」，問當局曾否考慮「直接起禁閉營」；林卓廷則關注一旦有聲請人被遣返後，法院才批出司法覆核許可如何處理？另有議員質疑是次修例建議一旦通過會遭受法律挑戰。李家超指，明白社會重視相關的羈留措施，但指需克服數個挑戰，法院要求羈留需在合理時間內，修例是列出多項因素，包括資源及人手、相關人士態度等，令羈留不會被認為「不合理」。他又指「不否認會做任何羈留措施」，承諾會認真處理羈留問題。何君堯問李是否「意味着建禁閉式難民營」，李指。此階段未有決定，指首要是否有穩妥法律基礎，才可考慮不同的選項及有信心就任何羈留措施作出決定。申請覆核許可  98%不獲批對建議容許司法覆核許可有決定前可將聲請人遣返，李指，九成八聲請人提出的許可申請都不獲批，而法院以往即使批出許可，都是程序上的覆核，而非用以確定聲請是否成立，又指整體九成九聲請都不被確立，他們絕大部分會提出上訴、再被拒時絕大部分會提司法覆核，聲請者提出司法覆核許可申請由一五年一百宗增三十倍至去年三千宗，上訴申請亦由一五年的三百宗增至去年四千宗，免遣返聲請機制保障的是真實聲請人，惟機制「充分被濫用」。李又指，入境處去年處理聲請有很好成績，尚待審核聲請只餘五百四十宗，料今年首季可全部完成，惟聲請問題仍存不少困難，有必要修例。,港聞,A18,Pro-Beijing,1096,11,1,,0,0
38,Oriental Daily News,2019-01-12,同鄉為錢反面 開車撞聲請漢,【本報訊】深水埗「南亞村」附近又發生假難民疑為錢反面傷人事件，前晚一名聲請漢報稱因金錢問題，與同鄉發生爭吵時，指被對方開車撞傷，幸傷勢輕微，至昨凌晨途經紅磡交通行動基地才往求助報警送院。報稱被同鄉開車撞傷「聲請漢」。（楊日權攝）肩手受傷  稱不追究據悉，該名聲請漢非洲裔（四十一歲），以免遣返聲請獲發「行街紙」暫留港。消息指，他報稱於前晚深夜在深水埗通州街近臨時街市對開，與同鄉友人因賣車的錢銀問題爭執，期間，對方駕車離開時，他企圖阻止，豈料，對方強行開車將他撞倒，導致其肩膊及手部受傷，其友卻不顧而去。由於他傷勢並不嚴重，至昨凌晨零時許，途抵紅磡衞環里西九龍交通行動基地對開，因感傷口痛楚進入求助報警，由救護車送院治理，他送抵醫院敷治後，又向警員表示不作追究，警方列作糾紛處理。,港聞,A19,Pro-Beijing,340,13,1,1,0,0
44,Hong Kong Economic Journal,2019-01-15,單程證政策是萬惡之源?,立法會原定於本月初辯論單程證政策，但由於提出議案的楊岳橋議員「甩轆」缺席會議，令議會失去辯論這個重要課題，包括澄清部分人士對內地新移民的種種誤解的機會。香港向來是一個移民城市，根據1961年香港戰後首次人口普查，當時約320萬人口當中，已有超過六成是在內地出生。按照學者推算，目前香港約740萬人口，有超過八成半、即約630萬人均為內地移民及其後裔。簡而言之，沒有內地移民，就沒有今天的香港。常把內地新移民妖魔化不過，部分反對派人士、本土派人士，以及支持港獨的人士，在回歸後不斷挑起族群仇恨，把單程證政策視作「萬惡之源」，把內地新移民妖魔化為「好食懶飛」的「蝗蟲」，把香港當前的房屋問題、貧富問題、醫療問題、教育問題等，都全部歸咎他們，希望促使市民誤信只要停止或減少接收內地新移民，香港所有問題即可迎刃而解。事實上，根據2016年的扶貧委員會報告，香港各類貧窮社群當中，以內地新移民的自力更生能力相對最強，相對較少依賴綜援等社會福利。公屋輪候申請者之中，亦只有約15%家庭有內地新移民成員。近日有反對「明日大嶼」願景的人士，質疑東大嶼人工島是為了內地新移民而建，除非這些人把所有在二戰後從內地移居香港的市民及其後裔都歸類為新移民，否則有關說法絕對不符事實。隨着香港人口老化、生育率長期偏低，內地新移民對香港的經濟及人力市場變得愈來愈重要。大部分內地新移民都是勤奮上進，不斷增值，在香港各行各業發展，包括從事金融、商貿、高新科技及專業服務等高增值行業。筆者代表的建測規園業界，亦有不少是來自內地的移民；另外亦不少新移民從事餐飲、百貨零售等服務行業，對香港經濟發展作出不少貢獻。諷刺的是，不少反對派人士，包括提出今次議案的楊岳橋議員所屬的公民黨，對俗稱「假難民」的非華裔免遣返聲請者就相當關顧，但對着自己的中國同胞、香港人的內地配偶及子女，卻表現得相當冷酷無情。要檢討單程證政策，首先要釐清其政策原意。單程證的主要目的是促進家庭團聚，而並非為了引入專才或投資移民，因此不應像非本地受養人的入境政策般，要證明到他們的在港家人有足夠經濟能力才獲批來港，否則就等於規定有錢人才可家庭團聚，窮人就不能家庭團聚、要繼續骨肉分離。當然，任何政策都有檢討及優化的空間，例如有人質疑每日150個配額是否過多。事實上，近年已經無用盡有關配額。2017年香港接收了約47000名單程證來港人士，比2016年大減接近1萬人，平均每日只有128人。2018年的全年數字尚未公布，但根據首10個月的數字推算，估計只有約41000人，平均每日只有約112人。單程證來港人數減少的原因有很多，其一是港人內地子女，包括以往無法申請來港的超齡子女，經過這麼多年已來得七七八八。加上內地經濟高速發展，居民收入上升，香港則租金貴、物價高、創業難，部分中港家庭經過深思熟慮，可能覺得不如把配偶及子女留在內地，甚至舉家搬往大灣區居住發展，對自己及家人會更有利。如果這個趨勢持續，有關每日150個配額是否過多的問題，很可能已不再是問題。嚴打假結婚 訂返回機制對於部分人士要求香港「取回」單程證審批權或設立雙重審批機制，筆者也認真思考過，在不違反有關法律及家庭團聚的原則下，是否可適度增加香港在單程證審批的話語權？但鑑於中國幅員廣闊，單程證申請人來自不同省市，要核實每年數萬名申請人的資料並加以甄選，即使交予香港去做，實際上亦難以執行，最後還是要依賴內地當局及當地政府處理。基於上述原因，筆者認為現行單程證政策及配額數目，並無合理理由或迫切性要作出大幅改動，但兩地政府仍可從多方面改善其具體運作，包括加強合作打擊「假結婚」問題；研究訂立「返回機制」，讓獲批單程證來港的人士暫時保留其內地戶籍，若他們未能適應香港環境，可在合理時間內選擇放棄香港居民身份，返回內地生活。還有是，考慮開放部分本地培訓課程，予已申請單程證的內地居民報讀，以便他們將來抵港後，可盡快融入社會及投入人力市場，為香港經濟作出更大貢獻。謝偉銓_立法會（建築、測量、都市規劃及園境界）議員#謝偉銓 #時事評論 #銓研傳言 - 單程證政策是萬惡之源?,時事評論,A19,Pro-Beijing,1682,11,1,1,0,0
48,Wen Wei Po,2019-01-15,馬道立：評論裁決須具建設性,"香港文匯報訊（記者　朱朗文）假難民的問題不只困擾香港社會，更困擾香港法庭。終審法院首席法官馬道立昨日表示，大量免遣返聲請案件對法庭構成壓力，司法機構將會與律政司磋商，探討對法例作出適度修訂的可行性，以更有效率地處理有關案件。他在其後回應傳媒時指出，香港現時只有180個法官，而2016年只有60宗相關司法覆核申請及一宗上訴，去年就增至約3,000宗申請及約200宗上訴，對司法機構來說的確有壓力。馬道立昨日在法律年度開啟典禮上致辭，除了重申司法獨立的重要性，及法官退休年齡和人手問題之外，還提到法庭因要處理大量免遣返聲請案件而承受沉重壓力，「各級法院審理每一宗案件都經過深思熟慮，故此延誤有時在所難免。」他指，增撥資源固然需要，但單靠增撥資源不能解決所有問題，而調配人手和資源處理免遣返聲請，無疑會對其他案件和其他司法工作產生不良影響。聲請案量大  研修例速審他表示，司法機構將會與律政司磋商，探討對法例作出適度修訂的可行性，以更有效率地處理免遣返聲請，並會諮詢相關持份者，「希望屆時大家繼續給予支持。」對於各級法院近年處理不少涉及政治爭議的案件，馬道立在致辭中直言，若說法庭在處理這類案件時「左右為難」並不準確，因為法庭的功能或職責不是裁決政治、社會或經濟議題，不會偏幫任何一方，處理的只是其席前的糾紛所涉及的法律議題，別無其他。他續指，社會上出現針對法庭判決的批評，有時甚至是對法官進行人身攻擊，而這些批評部分屬惡言攻擊，這是完全不能接受的。他強調，法庭一直樂意聽取具建設性的批評，「關鍵在於批評要來得有效、有建設性，就必須有理可據，而非基於誤解或錯誤的信息。」",文匯要聞,A06,Pro-Beijing,683,13,1,,0,0
53,Oriental Daily News,2019-01-16,保安局：兩年完成65宗積壓聲請上訴,【本報訊】假難民問題持續影響本港，積壓的免遣返聲請上訴個案有六千五百宗，預計需兩年才能完成處理。而去年接獲一千二百宗新的免遣返聲請個案，較前年減少約三分一，是自一四年統一審核機制實施以來最低。保安局首席助理秘書長（檢討）胡德英指，截至去年底尚待入境處審核聲請只餘五百四十宗，較高峰減逾九成，預計今年首季可完成處理，去年年底開始對聲請人的公費法律支援已大幅下降。胡德英胡德英昨在立法會一個小組委員會指，相信上訴的增加已見頂，料今年稍後時間會回落，兩年可完成處理積壓上訴，又指有法律代表的上訴約為一成。港府前年九月推出「為免遣返聲請人提供公費法律支援試驗計劃」，以解決當值律師服務轉介個案予律師有上限的樽頸，試驗計劃下律師會獲發一筆標準律師費，非如當值律師服務按時數收費。試驗計劃短時間內將入境處處理聲請數量增約七成半，截至去年底已為二千四百多人提供公費法律支援。因為新聲請減少，政府文件指當值律師服務會調整每日個案至最多四宗，而試驗計劃則只會在同日接獲聲請多於四宗時，協助處理餘下聲請。議員促盡快遣返犯罪聲請人立法會議員邵家輝會上指，應盡快把來港是為打黑工及犯罪的人盡快遣回原居地，又指公費法律支援「用咗我哋好多公帑」，試驗計劃有成效亦可減少公帑開支；謝偉俊則問到會否以試驗計劃「接管」當值律師服務相關工作；蔣麗芸指聲請的司法覆核對法院帶來很大壓力，有必要收緊審核聲請程序，支持修例，又指「收容中心都必須要諗，唔可以唔諗」。胡德英回應指，當局無放棄考慮任何建議，修例建議會在羈留方面為入境處增加一些彈性，又指羈留牽涉土地、管理等問題，需一步一步解決。胡又指當局將對試驗計劃進行檢討。,港聞,A16,Pro-Beijing,690,17,1,,0,0
63,Wen Wei Po,2019-01-17,促通過縮時草案  減濫用聲請空間,"香港文匯報訊（記者 馬壯）近年大批濫用免遣返聲請機制的「假難民」湧港，加上特區政府處理需時，為香港帶來治安問題及財政壓力。保安局局長李家超昨日表示，截至去年年底，尚待入境處審核的聲請個案較高峰期減少逾九成，可望在今年首季完成審核所有積壓聲請。同時，保安局提出一系列建議，消除聲請人濫用程序的空間，包括要求聲請必須在3個月內提出、縮短提出聲請和上訴的法定時限等，並希望政府稍後提交的條例草案早日獲立法會通過。李家超昨日在立法會上回應經民聯議員梁美芬的質詢時表示，截至去年底，尚待入境處審核的聲請個案只餘下約540宗，較高峰期減少逾九成，預計可在今年第一季完成審核所有積壓的聲請，而打擊偷渡的工作和要求逾期逗留主要來源國的訪客在入境前預先在網上登記的措施，亦有正面效果，非華裔非法入境者和免遣返聲請者的數目都比高峰期大幅回落八成。他強調，透過修例解決問題是必要和重要的，就此保安局提出了一系列建議，包括要求聲請人必須在3個月內提出聲請、縮短提交聲請表格和提出上訴的法定時限、收緊缺席會面或聆訊後要求改期的規定等，目的是要盡量消除聲請人濫用程序的空間，盡快完成處理個案，將聲請被拒者遣返原居國家。李家超倡提高罰則阻「黑工」他續指，政府同時建議修訂打擊非法工作的法例，包括提高逾期逗留或被拒入境人士「打黑工」的罰則，由最高兩年監禁增加至3年；提高僱用「黑工」罰則至最高罰款50萬元和監禁10年；將聘請「黑工」的打擊範圍擴大至公司董事、經理、秘書、合夥人等。他相信，透過加快審核和堵塞濫用程序的空間，加大「打黑工」和聘請「黑工」的罰則，及進一步研究合法、可行和有效的羈留政策，持續打擊偷渡罪行和加強執法，可有效消除不法分子來港的誘因。李家超希望保安局稍後提交的條例草案，可早獲立法會通過，讓保安局有更清晰的法律，解決現時要處理的問題。近年免遣返聲請開支整體：（包括審核聲請和處理有關上訴、為聲請人提供公費法律支援、人道援助的開支）2018/19年度（預算）：13.99億元公費法律支援：當值律師服務的「免遣返聲請法律支援計劃」2017/18年度：1.29億元2018/19年度（預算）：1.47億元保安局的「為免遣返聲請人提供公費法律支援試驗計劃」2017/18年度：2,300萬元（2017年9月起推行）2018/19年度（預算）：1.24億元資料來源：政務司司長回應立法會議員書面質詢整理：香港文匯報記者  鄭治祖",政情與網議,A12,Pro-Beijing,1004,16,1,1,0,0
