iter	MultiClass
0	0.9656854989
1	0.8706923026
2	0.8119390113
3	0.7443701582
4	0.6860675408
5	0.6352636882
6	0.6010942772
7	0.5602966967
8	0.5292200099
9	0.5023938241
10	0.4775850647
11	0.4599807602
12	0.4403827783
13	0.421179638
14	0.4041844107
15	0.3878729253
16	0.3781427646
17	0.3670586975
18	0.3552432935
19	0.3445505325
20	0.3385603353
21	0.3333612713
22	0.3275456935
23	0.3163559496
24	0.3098229821
25	0.3052578478
26	0.2943912793
27	0.2891428669
28	0.2845791871
29	0.279677382
30	0.2737340062
31	0.2674407505
32	0.2602135338
33	0.2550189244
34	0.2452892907
35	0.2413415322
36	0.2388558801
37	0.2331132657
38	0.2288427361
39	0.2226322166
40	0.2184831
41	0.2151832483
42	0.2090729602
43	0.2059089209
44	0.2002345088
45	0.1958918422
46	0.192321016
47	0.1886422182
48	0.1835978043
49	0.1801710864
50	0.1760624957
51	0.173751864
52	0.171352067
53	0.1683934469
54	0.1643388897
55	0.1616283238
56	0.1585339838
57	0.1574365086
58	0.1544906258
59	0.1534785902
60	0.1505329859
61	0.1492926518
62	0.1475342164
63	0.1445652499
64	0.1434003821
65	0.1404426412
66	0.1381575321
67	0.1352468666
68	0.1333883714
69	0.1320969301
70	0.1311009972
71	0.129914448
72	0.1280168761
73	0.1268566344
74	0.126013774
75	0.1239534191
76	0.122648357
77	0.1215036139
78	0.1200187632
79	0.1187912178
80	0.1170727176
81	0.1160133601
82	0.1141529674
83	0.1116952006
84	0.110119851
85	0.109714595
86	0.1080229942
87	0.1069052816
88	0.1059247439
89	0.1049507332
90	0.1030882609
91	0.1020472888
92	0.1006964378
93	0.09940508684
94	0.09878872065
95	0.09783636043
96	0.09647576031
97	0.0953539945
98	0.09446257992
99	0.09368464861
100	0.09260228929
101	0.09106844171
102	0.09061151209
103	0.08946354355
104	0.08857550029
105	0.08808100179
106	0.08680819025
107	0.08609603483
108	0.08534574869
109	0.08441934197
110	0.08387456449
111	0.08278833698
112	0.08134993023
113	0.08065169793
114	0.07986546531
115	0.07886596441
116	0.07811711022
117	0.0775987794
118	0.07667674785
119	0.07621725694
120	0.07543872004
121	0.07460293361
122	0.07383857368
