iter	Passed	Remaining
0	38	7697
1	90	8914
2	130	8540
3	155	7626
4	202	7915
5	237	7683
6	266	7350
7	291	7000
8	327	6959
9	348	6614
10	374	6428
11	399	6252
12	424	6099
13	449	5965
14	476	5877
15	514	5920
16	541	5825
17	577	5838
18	624	5950
19	660	5945
20	700	5971
21	721	5837
22	746	5746
23	774	5679
24	809	5667
25	842	5636
26	886	5683
27	947	5818
28	996	5876
29	1054	5973
30	1086	5922
31	1186	6226
32	1236	6257
33	1284	6268
34	1342	6327
35	1409	6422
36	1482	6530
37	1554	6625
38	1584	6541
39	1624	6496
40	1652	6408
41	1691	6361
42	1718	6276
43	1745	6189
44	1772	6104
45	1801	6032
46	1829	5954
47	1854	5871
48	1880	5795
49	1907	5722
50	1933	5648
51	1959	5575
52	1996	5537
53	2023	5470
54	2052	5409
55	2089	5373
56	2118	5315
57	2148	5260
58	2173	5195
59	2220	5181
60	2268	5169
61	2291	5101
62	2324	5055
63	2373	5042
64	2409	5004
65	2449	4973
66	2495	4953
67	2536	4924
68	2571	4881
69	2645	4913
70	2672	4856
71	2725	4845
72	2758	4798
73	2789	4750
74	2832	4720
75	2861	4667
76	2891	4618
77	2918	4564
78	2944	4509
79	2982	4474
80	3013	4427
81	3050	4390
82	3093	4360
83	3145	4343
84	3179	4301
85	3235	4289
86	3266	4243
87	3321	4227
88	3356	4186
89	3386	4138
90	3416	4091
91	3447	4047
92	3480	4005
93	3544	3997
94	3602	3981
95	3646	3950
96	3697	3926
97	3740	3893
98	3770	3846
99	3798	3798
100	3825	3749
101	3876	3724
102	3910	3682
103	3938	3635
104	3966	3588
105	4009	3555
106	4039	3510
107	4067	3465
108	4112	3433
109	4141	3388
110	4169	3343
111	4203	3302
112	4230	3257
113	4265	3218
114	4293	3173
115	4323	3130
116	4369	3099
117	4400	3058
118	4434	3018
119	4461	2974
120	4550	2970
121	4626	2957
122	4701	2943
