Index,Newspaper,Date,Title,Text,Category,Page_number,Political_camp,Raw_article_length,Title_length,Month,Racial_label,Sentiment
0,Oriental Daily News,2019-01-01,潤物有聲：婆媽政府不作為,常言道：一年伊始，萬象更新。然而，特區政府對待南亞假難民政策屢錯不改，可以預期，新的一年將繼續亂象叢生。繼南亞兵團殺入南丫島，將世外桃源變成毒窟後，警方日前爆門搜查長沙灣工廈洗碗工場，拘捕七名假難民黑工。南亞兵團只要手持「行街紙」，就可以在港自由活動，不是販毒、打劫，威脅港人性命財產，就是做黑工搶香港人飯碗，高官還要堅拒重設禁閉營，婆媽背後不是表明了這個「香港難民特區政府」口說「與市民同行」，實際上只是「與難民同行」嗎？港府對難民來者不拒，對收緊難民政策大歎慢板，固然是大錯特錯，送上行街紙、人道援助及律師費供這班人打官司，吸引南亞兵源源不絕湧港，則是一錯再錯。若說不重設禁閉營是顧及人權，那麼，對聘請黑工僱主刑罰過輕，恐怕是出於顧及假難民的搵食權了。單是去年首十一個月，就有三百一十九名假難民黑工被捕，數字不但比一五年及一六年都要多，而且還可能僅是冰山一角，事關月前入境處在流浮山打擊黑工，就發現有人在港做黑工已經逾兩年，一來反映假難民黑工問題嚴重，二來亦揭示不少僱主根本無視法例。雖然法例訂明僱用黑工一經定罪，最高可被判監禁三年及罰款三十五萬元，可是法庭一般僅判處數個月刑期了事。港府屢被詬病施政維護商界利益，莫非連聘用黑工的僱主也包括在內？沒有僱用黑工的僱主，假難民想做黑工也沒有窿路。不過，假難民無黑工做，會否轉為打家劫舍呢？以這個慣性婆媽的政府而言，當然是繼續不作為，對待假難民問題以不變應萬變，任由香港變成假難民樂園。傳媒人龍力勤,龍門陣,A28,Pro-Beijing,623,12,1,1,0
1,Oriental Daily News,2019-01-01,獅子山上：港人卑微願望,今日是二○一九年首日，港人在未來一年是福是禍，政府的大政方針有決定性作用，但事實擺在眼前，港人對新一年不甚樂觀，國際民意調查機構蓋洛普向全球五十一個國家或地區進行「希望指數」調查，香港的分數由正十分急跌至負二十五分，成為全球對一九年最悲觀地區的第五位。在今次希望指數排名中，最悲觀的五個地區包括戰火連連的兩個中東國家，換言之，港人對前景悲觀的程度，竟然堪比朝不保晚的動盪中東社區。香港向來被視為福地，甚少天災，港人在如此得天獨厚的情況下，於新一年憂心忡忡，顯然是人禍已全然覆蓋希望之源，擺在眼前最少有兩大毒瘤問題，一天不解決，香港要浴火重生，真的不知從何說起。第一個毒瘤問題是近期鬧哄哄的司法亂象，當中「放生」及「應告唔告」個案惹起極大爭議，對此，律政司司長鄭若驊責無旁貸，有責任撥亂反正，奈何她自己亦「唔爭氣」，本身也是爭議火頭，尤其是獨立屋僭建醜聞衍生的其他法律問題，「未完全斷尾仍有手尾跟」。再者，鄭若驊近期因擅改徵詢獨立法律意見的準則，法律界及政界一面倒「鬧爆」，連建制派都「幫理不幫親」，寸爆鄭抱持「眾人皆醉我獨醒」的態度，要求她再作解釋，若鄭仍死撐不認錯，司法繼續沉淪是無可避免。另一個毒瘤問題是南亞兵團及假難民禍港，據報過去五年用於免遣返聲請及相關工作的開支多達五十億元，公帑如此浪費，已令民怨四起，但政府至今仍無解決假難民問題的方案，多個地區要長時間承受假難民衍生的社會問題。總的來說，香港新一年籠罩悲觀情緒，政府要挽回人心，先要杜絕人禍，繼而提出針對措施排難解紛，否則港人的卑微願望亦落空，就是對政府死心之時。傳媒人畢日堯,龍門陣,A28,Pro-Beijing,670,11,1,1,0
2,Oriental Daily News,2019-01-01,強詞有理：治安毒瘤 沒完沒了,「善財難捨，冤枉甘心」，正是港府的寫照。一方面對港人斤斤計較，連派粒糖也不情不願，另一方面對假難民慷慨解囊，大方得令人難以置信。過去五年，港府用於假難民身上的開支累計達五十億元，單是本財政年度就有十四億元，較上個財年增加逾三成，可見這根本是一個無底洞，愈陷愈深。港府請客，市民埋單，你說冤不冤！花錢還是其次，治安才是大問題。隨着假難民不斷蔓延，全港各區相繼淪陷，連離島也無法幸免，一向治安良好的南丫島竟淪為毒窟及兵器庫，令人觸目驚心。對假難民仁慈，等於對港人殘忍，難道港府連如此簡單的道理也不懂？人們始終想不通，假難民問題已困擾香港多年，為何遲遲無法解決？答案是，非不能也，實不為也。要徹底解決假難民問題，最直截了當的辦法就是退出聯合國《禁止酷刑公約》。有人也許認為這不是一件簡單的事，其實事在人為，美國可以「美國優先」為名隨時退群毀約，為何香港連通過中央政府要求退出公約的勇氣也沒有？向來強調「自由人權」的美國尚且對經濟難民採取零容忍政策，香港又何德何能對假難民來者不拒？退一步說，即使暫時無法退出公約，也不表示可以放任假難民為非作歹。各界人士早就建議設立禁閉式難民營，起碼也應羈押干犯刑事罪行的假難民，禁止他們流竄各區，危害治安，奈何港府充耳不聞，至今沒有採取任何防範措施。庸官禍港，莫此為甚！評論員陳競立,龍門陣,A28,Pro-Beijing,555,14,1,0,0
3,Oriental Daily News,2019-01-02,龍七公：大麻製品恐攻港 當局不能忽視,於去年，加拿大國會通過《大麻法案》，容許境內攜帶及吸食自用數量範圍內的休閒大麻。由於加拿大與香港關係密切，雙方互有一定數量的旅客及留學生，當地的合法化可能間接增加大麻流入本港的機會。就此，當局實在不能掉以輕心，使大麻此類「看似害處不大」的毒品，影響到本港市民健康。在北美地區，大麻合法化議題經過漫長的辯論。美國部分州已將其合法化或醫療用途合法化，但還有一部分仍全面禁止。今次加拿大全面開放休閒大麻，預計將有大量美國公民前往當地購買及吸食。與此同時，部分亞裔學生本無意吸食，但合法化可能會成為他們嘗試的誘因，引起他們父母的高度關注。某些支持大麻合法化的團體認為，大麻對人體的害處不大，並指煙草及酒精禍害更大，而且更容易令人上癮。大麻其中一個盛產地是墨西哥。有學者指，大麻之所以被標籤為負面產物，全因十九世紀及二十世紀之交，大量墨西哥人進入美國引起社會恐慌，美國當時就指摘墨西哥人吸食大麻致犯罪及貧困問題叢生。時至今日，由於支持者多年來與政府對抗，久而久之產生一種次文化的象徵，予人一種錯覺，就是大麻與反政府情緒存在密切關係。每當有人提起北美地區墮落的一面，總是離不開大麻的問題。撇開北美的政治和文化，大麻又是否真的對身體無害？根據研究顯示，大麻比煙草的效力更持久，後者可能只有十數分鐘，而前者則可能長達四至五個小時。在如此長的時間身處在意識不清之中，將有機會增加發生人身安全意外的機會。另外，大麻對中樞神經的傷害，不下於尼古丁及酒精，尤其是對於年輕人的傷害，隨時可能會造成永久的後遺症。更重要的是，大麻往往被視為「誘導性毒品」，亦即其他毒品的「入門」。其實不難想像，慣性吸食大麻的人士會產生耐藥性，同劑量的大麻未必滿足到其追求刺激的心態，繼而轉向其他更烈性的毒品。基於種種原因，亞洲大部分地區將大麻定性為「毒品」，而在中國內地及南韓，私藏大麻的最高刑罰更是死刑。說回香港，大麻現時被視為「毒品」，亦相信社會暫無強烈要求合法化的聲音。過往的報道，主要關於警員搗破種植大麻的案件。順帶一提，在香港私自栽植大麻是為嚴重罪行，最高可判處監禁十五年及罰款十萬元。雖然大麻在港的確未有「流行」的趨勢，但隨着加拿大將其合法化，也許會增加流入香港的風險。一如電子煙般，大麻製品未必像我們所認知的「乾草」形態，部分商人為求增加銷量，可能將其包裝成糖果或飲料。由此，部分年輕人可能因而放下戒心，誤將相關產品帶入香港，一旦被海關人員發現，即誤墮法網負上刑事責任。此外，如在網上購買大麻相關產品，不乏賣方聲稱可以幫助買家郵寄至香港，反映執法機構仍有多個途徑尚未完全堵截。雖然涉及境外的犯罪行為在執法上存在一定困難，但至少海關可以在邊境加強追蹤，避免大麻製品能以郵遞的方式進入本港。事實上，近年香港受到「假難民」的困擾，大量的南亞人士以非法途徑前來香港，成為罪案的溫床，已很有可能增加毒品在本港流轉的機會。加之加拿大及美國部分州份陸續宣布休閒大麻合法化，亦很有可能使年輕人減少對其警覺性。現時，在香港所發現大麻的個案偏低不代表問題輕微，有時可能純粹是執法存在難度，但實質問題已漸漸在各個社區蔓延。在新的一年，希望當局加緊重視毒品的偵緝，勿讓我們的年輕人有機會接觸毒品，禍及身心健康。律師陳曼琪,龍門陣,A24,Pro-Beijing,1332,18,1,1,0
4,Ming Pao Daily News,2019-01-04,免遣返聲請擬修例防濫用,【明報專訊】保安局昨日向立法會提交文件，有意修訂相關的《入境條例》改善免遣返聲請和上訴的程序，包括考慮加入條文，訂明聲請人須在符合提出免遣返聲請資格起3 個月內提出，除「非常特殊」和「無法控制」情况外，否則逾期聲請將不獲處理。當局又建議免遣返聲請人從事非法工作，由現時只可檢控有關人等違反逗留條件，改為控「非法工作」，監禁提高至3 年。政府指目標是今年上半年向立法會提交條例草案。聲請須3個月內提出 非法工作囚3年文件指出，高等法院原訟法庭接獲有關免遣返聲請的司法覆核許可申請，自2017 年開始飈升，由2015 年103 宗和2016 年80 宗，增加10 倍以上至2017 年達1006 宗，去年截至12 月中已有接近3000 宗。政府表示，就2017 年至今與免遣返聲請相關的司法覆核許可申請，法庭已處理逾千宗，當中只有約2% 獲批，正考慮加入條文，訂明即使有關人士已申請司法覆核許可或法援，除非已獲法庭給予許可，否則入境處仍可將他們遣離香港。羈留方面，政府正考慮修例訂明即使審核或遣送程序受阻，當事人亦可被繼續羈留；又考慮訂明若認為相關的人不被羈留會對人命或財產構成風險，可不受任何普通法原則限制繼續羈留。民建聯立法會議員葛珮帆表示，歡迎政府提出一系列措施打擊濫用免遣返聲請，指目前仍有逾萬名聲請人士留港，每年花費逾10 億公帑，政府須盡快解決問題。,港聞,A10,Neutral,579,11,1,0,1
5,Oriental Daily News,2019-01-04,正論：修條例小打小鬧 假難民毒瘤難除,南亞假難民問題困擾香港多年，惹來怨聲四起，港府擬收緊《入境條例》，加強執法能力，本已姍姍來遲，而最令人失望的是有關修訂不是斬草除根，建議重設禁閉營甚至直接退出有關國際公約，一了百了，而是小打小鬧，零敲碎補，治標不治本。就修訂現行《入境條例》，當局提出九項建議，包括限定酷刑聲請人須在三個月內提交聲請；加強入境處的遣返及羈留權力；將打黑工的監禁期提高至三年；加大對僱用非法打工者的處罰力度，由最高罰款三十五萬元及監禁三年，增至罰款五十萬元及監禁十年。客觀而言，有關修訂一定程度上提高了阻嚇力，但並不徹底。眾所周知，假難民打黑工也好，作奸犯科食大茶飯也罷，憑的是一張「行街紙」，只有取消行街紙制度，對假難民即捕即解，至少也要重設禁閉營，阻斷其進入市區之路，才能解決問題。港府這也不敢、那也不敢，結果只會導致假難民這顆治安毒瘤不斷惡化，最終發展為不治之症。何況有關修例面對不少阻力。反對派政客一向是非不分，黑白顛倒，假仁假義，部分立法會議員更有「假難民之父」之惡名，相信他們必然全力阻撓搞破壞，修例何時通過及付諸落實，都是望天打卦。而在法例通過前的空窗期，假難民犯罪不變本加厲才怪。可以說，如此修例不僅與主流民意南轅北轍，也與國際大勢背道而馳。事實上，西方國家近年紛紛捲起「人道、博愛」的大旗，法國、意大利等國不僅決定在國內設立難民羈留中心，更在難民主要來源地設立類似設施；澳洲做得更絕，一早將難民羈押在離島，不准踏入本土一步；至於主張對難民「零容忍」的美國政府更不用說了，特朗普為迫使民主黨同意撥款修建美墨邊境的現代「萬里長城」，不惜讓政府局部停擺。近日美墨邊境再爆衝突，欲闖入美國的難民小朋友遭到催淚彈襲擊，美國政府因此被人權分子批評「不人道」，然而，那些無視別國法律、讓孩子打頭陣的大人及人權組織，又何曾「人道」？強硬對付難民入境已是大勢所趨，民心所向，但別人做得到，港府卻做不到；當年港英政府可以設立禁閉營，如今特區政府卻畏首畏尾，形成鮮明對比。港府的藉口是要顧及假難民的「人權」，不錯，假難民有人權，難道香港人就沒有「人權」？深水埗通州街橋底南亞村烏煙瘴氣，誰來體諒周邊居民的痛苦？同樣可惡的還有那群吃裏扒外的政客，慣於站在道德高地，大慷納稅人之慨，成就自己的偽善之名，為虎作倀，莫此為甚！香港問題千頭萬緒，港府自顧不暇，偏偏自找苦吃背上假難民這個大包袱，愚不可及。近年香港移民潮再起，最新調查更顯示多達三分之一市民有移民的意願，政治紛紛擾擾固然是主因，而假難民禍害不止，也起到劣幣驅逐良幣的效果。,港聞,A02,Pro-Beijing,1051,18,1,1,0
6,Oriental Daily News,2019-01-04,聘用假難民可囚1年,僱主日後聘請假難民黑工隨時換來十年牢獄生涯！大批假難民湧港提出免遣返聲請「賴死唔走」，最大誘因是來港打黑工「搵真銀」。港府為減低假難民從事黑工的誘因，建議修訂法例，加強對僱主聘請非法勞工的刑罰，由以往最高罰款卅五萬元和監禁三年，大幅提高至罰款五十萬元及監禁十年。假難民打黑工，搶走本地工人飯碗。保安局及入境處昨向立法會提交的文件指，建議提高聘請非法勞工的罰則外，同時將僱主的範圍擴展，若聘用黑工時，公司的董事、經理、秘書或其他相關人員同意或縱容，亦同樣屬違法。從事黑工定義 涵蓋逾期逗留文件又擴闊有關對非法勞工的定義，將範圍涵蓋至逾期逗留或被拒入境人士，即使他們未被發出遣送離境令或遞解離境令，但被發現從事黑工時，其罰則亦與非法入境者一樣，即刑罰為最高罰款為五萬元和監禁三年。假難民為留港打黑工，不惜利用以種種手段拖延，以獲得暫時留港的機會，導致濫用免遣返聲請程序。保安局文件就指出，以往有聲請者亦以未有提交表格、藉詞或無故缺席審核會面，又或提供大量明顯無關的文件等方法，拖延整個審批程序。收緊聲請聆訊安排 杜絕拖延局方正考慮針對有關情況作修訂建議，若聲請人缺席審核會面需解釋，除非該理由是「非常特殊」及「不能控制」的情況，否則不會再另行安排聆訊；而更改會面日期方面，則須在原定會面日前提出。文件又指，以往有聲請人稱身體不適而缺席會面，但事後亦未有提交醫學報告的話，則不會考慮其聲稱身體狀況的理由。至於防止有人提交大量無關文件作聲請證據，文件則建議聲請人需要為所提交的文件，解釋當中與聲請有關的部分，否則不獲考慮使用；而聲請人若被認為能以某種語言溝通，有關聆訊亦毋須以聲請人最精通的語言進行。搶本地工人飯碗 打擊勿手軟工聯會立法會議員麥美娟歡迎港府計劃大幅提升對聘請黑工僱主的刑罰，但希望修例後會檢控真正的僱主，而非只限負責聘請的人事部職員。她又指，假難民以低薪搶走本地工人飯碗，遍及多個工種，包括地盤、物流、運輸、洗碗、裝修，令本地工人開工不足，認為當局應加大力度打擊，令假難民無法打黑工，在沒有誘因下盡快遣離本港。,港聞,A02,Pro-Beijing,859,9,1,0,0
7,Oriental Daily News,2019-01-04,事先獲取乘客資料 入境處阻截潛在聲請人來港,【本報訊】政府提出的《入境條例》修訂建議，除了縮短免遣返聲請人拖延留港及加重黑工相關刑罰外，亦有觸及阻截潛在聲請人來港的範疇，當中包括考慮賦權政府可事先取得即將飛來香港的航機乘客資料，讓港方有需要時可拒絕個別人士登機。當局同時計劃加重航空公司檢查乘客可否合法來港的責任，機上一旦有乘客沒有有效旅行證件而飛抵本港，飛機擁有人及其代理人的最高罰款，將大增九倍至十萬元。假難民聚居深水埗南亞村，令附近居民人心惶惶。美加澳洲已落實 加快清關程序根據保安局及入境處提交立法會的文件，指國際民用航空組織二○一八年更新《國際民用航空公約》，要求其成員落實「預報旅客資料」系統。在有關系統下，航空公司必須在航機起飛前預先向目的地的入境當局提供乘客資料，而上述安排已在不少國家，例如美國、加拿大及澳洲落實，目的是進一步加快邊境的清關程序，減少不必要的延誤。當局透露正考慮加入條文，賦權保安局局長可制訂規例，要求航空公司或其他交通工具的擁有人或其代理人，在航機或交通工具出發來港前，向入境處提供乘客資料，以及在有需要時，讓入境處要求航空公司及上述擁有人或代理人，拒絕個別人士登機或登上交通工具來港。落實《公約》有關要求，可加強入境處執法能力及加快各管制站處理旅客通關的手續，亦可加強防止潛在聲請人來港。研增航空公司責任 罰款加至10萬另外，現時《入境條例》規定，乘飛機抵港的乘客如未有帶備有效旅行證件，飛機的擁有人及其代理人即屬犯罪，最高罰款一萬元。為進一步減少潛在聲請人抵港，並加重航空公司檢查乘客是否可合法來港的責任，當局正考慮修例將最高罰款大幅提高至十萬元。,港聞,A02,Pro-Beijing,672,21,1,1,0
8,Oriental Daily News,2019-01-04,學者批九招作用有限 應退酷刑公約,【本報訊】雖然港府提出九項修例建議加速處理假難民問題，但學者認為作用有限，長遠應尋求中央政府退出聯合國《禁止酷刑公約》；亦有立法會議員指出，港府今次提出的修例建議較具體及全面，但相信會遇到法律挑戰，認為若九項建議仍不奏效，便要考慮設立禁閉營。陳偉強倡效美禁非法入境者申庇護理工大學專業及持續教育學院講師陳偉強認為，港府最新提出的九項修例建議雖有誠意，但效用有限，首先規定假難民要三個月內要提出聲請，只能針對合法入境者，對於非法入境者，他們即使來港數年，也可訛稱是剛來港；至於提高對聘請黑工僱主的罰則，正所謂「你有你定，法庭有法庭判」，即使最高刑罰為十年，但法庭可能僅判數月，加上僱主會千方百計逃避刑責，故未必可產生阻嚇作用。葛珮帆一直研究美國難民政策的陳表示，港府應大刀闊斧，倣效美國聯邦政府做法，若有人要申請庇護，必須合法入境才可提出申請，否則會被遣返，又認為港府應當機立斷，爭取國際輿論，尋求中央政府退出聯合國《禁止酷刑公約》，否則只會無止境浪費納稅人金錢。設禁閉營可遏止黑工保治安立法會跟進免遣返聲請統一審核機制有關事宜小組委員會主席葛珮帆認為，港府新提出的九項建議較具體及全面，包括大幅提高聘請黑工僱主的刑罰，相信可產生阻嚇作用；另外，她一直提出要羈留對人命或財產構成風險的假難民，都是很好的建議，但她亦預期港府屆時會面對極大的法律挑戰，認為必須做好足夠的法律準備，否則再被假難民挑戰成功，後患無窮。葛期望港府盡快向立法會提交修例草案，而立法會亦可盡快通過，以加快落實相關建議，若推出該九項建議後仍未能奏效，港府便要考慮設立禁閉營，令假難民抵港後無法打黑工，以減少他們來港的誘因，亦防止他們走出社會繼續破壞治安，同時亦可發出強烈訊息，假難民絕不可繼續大搖大擺留港，不再虛耗大量公帑。,港聞,A01,Pro-Beijing,745,16,1,0,0
9,Oriental Daily News,2019-01-04,假難民禍港 5年燒5億公帑,【本報訊】假難民不但破壞社會治安，更枉花納稅人金錢，今個財政年度，政府預算用於免遣返聲請及相關工作的主要開支，已逼近十四億元，「埋單計數」五年間已枉花五十億元，其中照顧假難民衣食住行給予的人道援助開支佔最大比重，達廿八億八千萬元。濫提上訴 6477宗仍待處理保安局文件指，截至去年十一月底，雖然尚待入境處決定的聲請減至九百二十宗，惟尚待上訴委員會決定的個案則達六千四百七十七宗，連同聲請被拒但未提上訴、已提司法覆核、在囚、還押及正安排遣返等，現時在港的聲請人仍多達約一萬四千人。而資料顯示，於一八／一九財政年度，政府預算處理聲請的開支約十三億九千九百萬元，較一七／一八年度預算的十億六千六百萬元增逾三成，而該筆開支包括審核聲請及處理有關上訴／呈請、公費法律支援及人道援助三個部分，然而現時愈來愈多個案轉移至司法覆核階段，耗費公帑的數字將會更加驚人。,港聞,A02,Pro-Beijing,374,13,1,0,0
